lcat,x,y,across,x1,y1,cos,sin,culvert,along
217.0,241639.64105123276,5156768.23081197,9.0,241639.23932775253,5156759.239782093,0.044635942249185115,0.9990033196438975,0.0,7370.0
217.0,241649.63069901924,5156767.78446976,9.0,241649.22897554777,5156758.793439883,0.04463594127555586,0.9990033196873997,0.0,7380.0
217.0,241659.62217108268,5156767.346636929,9.0,241659.23347470575,5156758.35503445,0.043188486325582504,0.9990669420258609,0.0,7390.0
217.0,241669.6124550697,5156766.914768778,9.0,241669.22375869277,5156757.923166299,0.04318848632432646,0.9990669420259153,0.0,7400.0
217.0,241679.60273906644,5156766.482900622,9.0,241679.21404278194,5156757.49129814,0.043188476055794185,0.9990669424698118,0.0,7410.0
217.0,241689.5930230432,5156766.051032469,9.0,241689.2043266667,5156757.05942999,0.043188486281628524,0.999066942027761,0.0,7420.0
217.0,241699.58330704045,5156765.619164312,9.0,241699.19461075595,5156756.62756183,0.043188476055794185,0.9990669424698118,0.0,7430.0
217.0,241709.57359101722,5156765.187296158,9.0,241709.1848946407,5156756.195693679,0.043188486281628524,0.999066942027761,0.0,7440.0
217.0,241719.56387501353,5156764.755428002,9.0,241719.17517872064,5156755.76382552,0.043188476985415454,0.9990669424296253,0.0,7450.0
217.0,241729.55415899216,5156764.323559848,9.0,241729.165462624,5156755.331957369,0.04318848535200726,0.9990669420679474,0.0,7460.0
217.0,241739.54444298754,5156763.891691693,9.0,241739.15574669465,5156754.900089211,0.043188476985415454,0.9990669424296253,0.0,7470.0
217.0,241749.53472696614,5156763.459823538,9.0,241749.14603059797,5156754.468221059,0.04318848535200726,0.9990669420679474,0.0,7480.0
217.0,241759.52501096096,5156763.027955382,9.0,241759.1363146677,5156754.0363529,0.04318847702936943,0.9990669424277252,0.0,7490.0
217.0,241769.5152949396,5156762.596087228,9.0,241769.12659857105,5156753.604484749,0.0431884853947052,0.9990669420661017,0.0,7500.0
217.0,241779.50557893587,5156762.164219073,9.0,241779.116882651,5156753.172616591,0.04318847609849235,0.9990669424679659,0.0,7510.0
217.0,241789.4958629122,5156761.732350919,9.0,241789.1071665357,5156752.740748441,0.043188486281628524,0.999066942027761,0.0,7520.0
